ID;Content;Work Product;Category ID;Category Description;Process Area
26262-2018:6-7.4.1;"To avoid systematic faults in the software architectural design and in the subsequent development activities, the description of the software architectural design shall address the following characteristics supported by notations for software architectural design as listed in Table 2:

a) comprehensibility;

b) consistency;

c) simplicity;

d) verifiability;

e) modularity;

f) abstraction;

         NOTE Abstraction can be supported by using hierarchical structures, grouping schemes or views to
         cover static, dynamic or deployment aspects of an architectural design.

g) encapsulation; and

h) maintainability.";Software architectural design specification;4;Quality criteria for work products;Software Architectural Design
26262-2018:6-7.4.10a;Safety-oriented analysis shall be carried out at the software architectural level ;Safety analysis report;1;Identification of work products;Software Architectural Design
26262-2018:6-7.4.10b;"in accordance with ISO 26262-9:2018, Clause 8, in order to:

- provide evidence for the suitability of the software to provide the specified safety-related functions
  and properties as required by the respective ASIL;

     NOTE 1 Safety-related properties include independence and freedom from interference requirements.

- identify or confirm the safety-related parts of the software; and

- support the specification and verify the effectiveness of the safety measures.

     NOTE 2 Safety measures include safety mechanisms that have been derived from safety-oriented
     analyses and can cover issues associated with random hardware failures as well as software faults.

     NOTE 3 See Annex E for additional information about the application of safety-oriented analysis at the
     software architectural level and the selection of appropriate safety measures.";Safety analysis report;4;Quality criteria for work products;Software Architectural Design
26262-2018:6-7.4.11;"If the implementation of software safety requirements relies on freedom from interference or sufficient independence between software components, dependent failures and their effects shall be analysed in accordance with ISO 26262-9:2018, Clause 7.

NOTE See Annex E and ISO 26262-9:2018, Annex C for additional information about the application of analyses of dependent failures at the software architectural level.";Dependent failures analysis report;1;Identification of work products;Software Architectural Design
26262-2018:6-7.4.12;"Depending on the results of the safety-oriented analyses at the software architectural level in accordance with 7.4.10 or 7.4.11, safety mechanisms for error detection and error handling shall be applied.

NOTE 1 Annex E provides guidance for deciding if safety mechanisms are required for a failure mode.

NOTE 2 Safety mechanisms for error detection can include:

- Range checks of input and output data;

- Plausibility check (e.g. using a reference model of the desired behaviour, assertion checks, or comparing
     signals from different sources);

- Detection of data errors (e.g. error detecting codes and multiple data storage);

- Monitoring of program execution by an external element such as an ASIC or another software element
     performing a watchdog function. Monitoring can be logical or temporal monitoring or both;

- Temporal monitoring of program execution;

- Diverse redundancy in the design; or

- Access violation control mechanisms implemented in software or hardware concerned with granting or
     denying access to safety-related shared resources.

NOTE 3 Safety mechanisms for error handling can include:

- Deactivation in order to achieve and maintain a safe state;

- Static recovery mechanism (e.g. recovery blocks, backward recovery, forward recovery and recovery through
     repetition);

- Graceful degradation by prioritizing functions to minimize the adverse effects of potential failures on
     functional safety;

- Homogenous redundancy in the design, which focuses primarily on controlling the effects of transient faults
     or random faults in the hardware on which a similar software is executed (e.g. temporal redundant execution
     of software);

- Diverse redundancy in the design which implies dissimilar software in each parallel path and focuses
     primarily on the prevention or control of systematic faults in the software;

- Correcting codes for data; or

- Access permission management implemented in software or hardware concerned with granting or denying
     access to safety-related shared resources.

NOTE 4 The software safety mechanisms (including general robustness mechanisms) can be reviewed at the system level to analyse the potential impact on the system behaviour and the consistency with the technical safety requirements.";Software architectural design specification;1;Identification of work products;Software Architectural Design
26262-2018:6-7.4.13;"An upper estimation of required resources for the embedded software shall be made, including:

a) the execution time;

b) the storage space; and

     EXAMPLE RAM for stacks and heaps, ROM for program and non-volatile data.

c) the communication resources.";Software architectural design specification;2;Requirements on the content of work products;Software Architectural Design
26262-2018:6-7.4.14a;"The software architectural design shall be verified in accordance with ISO 26262-8:2018,
Clause 9";Software architectural design specification;9;Requirements on work product lifecycles (review needed? Confirmation / approval needed);Software Architectural Design
26262-2018:6-7.4.14b;" and by using the software architectural design verification methods listed in Table 4 to provide evidence that the following objectives are achieved:

a) the software architectural design is suitable to satisfy the software requirements with the
     required ASIL;

b) the review or investigation of the software architectural design provides evidence for the suitability
   of the design to satisfy the software requirements with the required ASIL;

c) compatibility with the target environment; and

     NOTE Target environment is the environment in which the software is executed. This can include the
     operating system and the basic software, in addition to the target hardware and its resources as specified
     in 7.4.13.

d) adherence to design guidelines.";Software architectural design specification;4;Quality criteria for work products;Software Architectural Design
26262-2018:6-7.4.2;"During the development of the software architectural design, the following shall be considered:

a) the verifiability of the software architectural design;

         NOTE This implies bi-directional traceability between the software architectural design and the
         software safety requirements.

b) the suitability for configurable software;

c) the feasibility for the design and implementation of the software units;

d) the testability of the software architecture during software integration testing; and

e) the maintainability of the software architectural design.";Software architectural design specification;4;Quality criteria for work products;Software Architectural Design
26262-2018:6-7.4.3;"In order to avoid systematic faults, the software architectural design shall exhibit the following characteristics by use of the principles listed in Table 3:

a) comprehensibility;

b) consistency;

c) simplicity;

d) verifiability;

e) modularity;

f) encapsulation; and

g) maintainability.";Software architectural design specification;4;Quality criteria for work products;Software Architectural Design
